zipcode,rate
36749,
36703,
36003,235.65
36008,235.65
36006,
36022,
36051,
36091,
36068,235.65
36067,
36758,
36066,
36562,
36561,248.03
36530,248.03
36507,248.03
36502,
36577,248.03
36567,248.03
36564,248.03
36576,248.03
36574,248.03
36579,248.03
36578,248.03
36580,248.03
36527,248.03
36533,248.03
36532,248.03
36551,248.03
36535,248.03
36536,248.03
36542,248.03
36550,248.03
36526,248.03
36559,248.03
36547,248.03
36511,248.03
36555,248.03
36549,248.03
36374,
36005,
36017,248.03
36016,
36027,
36048,248.03
36072,248.03
36053,
36311,
36317,
35074,195.66
35111,
35115,
36750,
36792,
36793,
35456,
35034,
35035,
35042,
35184,
35188,
35097,195.66
35079,
35121,
35126,
35133,
35146,
35976,
35980,
35952,
35172,
35063,
35049,195.66
35013,195.66
35016,
35031,
35180,
35957,
36860,
36005,
36029,
36037,
36052,
36053,
36081,
36089,248.03
36069,
36061,248.03
36456,
36474,
36015,248.03
36030,
36033,
36032,
36037,
36042,
36071,
35096,
35905,
35907,
36260,
36257,166.13
36202,166.13
36203,
36201,166.13
36265,166.13
36253,166.13
36207,166.13
36250,166.13
36271,
36272,
36254,166.13
36206,166.13
36205,166.13
36204,166.13
36279,166.13
36277,166.13
36879,
36804,
36852,
36863,248.03
36854,
36862,248.03
36801,
36276,
36274,
36850,
36855,
30165,
35983,
35901,
35984,
36275,248.03
36272,
35973,248.03
35959,
35960,248.03
35961,
35967,
35085,195.66
36792,
35115,
35171,195.66
36750,
36790,195.66
36006,
36051,
36793,
36758,
36091,
35035,
35040,
35046,
35045,195.66
36919,248.03
36908,248.03
36916,248.03
36904,248.03
36915,248.03
36910,248.03
36912,248.03
36913,248.03
36922,
36921,248.03
36558,
36751,
36727,248.03
36446,248.03
36436,248.03
36451,248.03
36540,248.03
36784,
36545,248.03
36515,248.03
36524,248.03
36482,
36762,248.03
35082,248.03
35160,
36258,
35072,
36256,
36266,
36251,248.03
36267,248.03
36255,
36276,
36258,
36264,
36262,248.03
36261,248.03
36269,248.03
36273,248.03
36272,
36203,
36331,248.03
36351,
36453,
36346,248.03
36467,
36010,
36009,
36477,
36079,
36311,
36316,
36318,
36330,
36322,
36323,
35662,209.35
35653,
35674,209.35
35654,
35661,209.35
35660,209.35
35672,
35616,209.35
35646,209.35
35582,
36473,248.03
36475,
36401,
36502,
36460,
36454,248.03
36456,
36474,
36033,
36432,
36421,
36471,
36426,
36429,248.03
35089,
35136,248.03
35150,
35151,
36026,
35072,
36080,
36091,
35046,
35010,
35183,248.03
36477,
36453,
36456,
36455,248.03
36474,
36028,
36038,248.03
36483,
36476,248.03
36467,
36421,
36420,
36442,
36034,
36009,
36028,
36035,
36037,
36036,
36046,
36041,
36042,
36049,
36071,
36467,
36323,
36062,248.03
35077,248.03
35087,
35083,248.03
35098,
35976,
35179,
35540,
35504,
35541,
35619,
35070,248.03
35058,248.03
35057,248.03
35055,248.03
35033,
35622,
35621,
35053,
35019,
35016,
35056,248.03
35031,
36362,248.03
36303,
36353,
36361,248.03
36360,248.03
36371,248.03
36345,
36350,
36374,
36010,
36352,
36311,
36317,
36322,
36330,
36703,
36749,
36785,
36702,248.03
36761,
36759,
36701,
36767,248.03
36775,
36773,
36758,
35983,
35981,248.03
35951,
35765,
35978,
35979,
35771,
35988,248.03
35989,248.03
35986,248.03
35984,
35974,248.03
35954,
35957,
35971,248.03
35962,
35959,
35961,
35968,248.03
35963,248.03
35967,
35966,
35975,
36054,
36026,
36020,235.65
36022,
36025,235.65
36024,235.65
36045,235.65
36051,
36078,
36080,
36093,235.65
36092,235.65
35010,
36067,
36066,
36562,
36483,
36504,248.03
36502,
36503,248.03
36543,248.03
36432,
36401,
36420,
36441,248.03
36421,
36427,248.03
36426,
35121,
35907,
35904,237.91
35903,237.91
35902,237.91
35901,
35906,237.91
35905,
35990,237.91
36271,
36272,
35952,
35954,
35956,
35961,
35972,
35574,
35542,248.03
35545,248.03
35546,
35549,
35554,
35594,
35555,
35563,
35559,248.03
35579,
35571,
35651,
35653,
35654,
35565,
35593,
35581,
35582,
35585,248.03
36477,
36340,165.5
36349,165.5
36344,165.5
36453,
36375,
36352,
36442,
36313,165.5
36314,165.5
36316,
36318,
36322,
36305,
36301,
35480,
35491,221.63
35469,
35462,221.63
35463,
35464,
35442,
35443,221.63
35448,221.63
36740,221.63
36786,
35474,
36776,221.63
36756,
35441,221.63
36765,
36742,
36744,
36353,
36373,165.5
36345,
36016,
36319,
36317,
36310,165.5
36351,
36303,
36343,165.5
36352,
36376,165.5
36370,165.5
36350,
36345,
36375,
36303,
36304,165.5
36312,165.5
36305,
36320,165.5
36319,
36321,165.5
36301,
36302,165.5
36322,
35765,
35766,248.03
35764,248.03
35769,
35979,
35978,
35768,248.03
35771,
35776,
35772,248.03
35774,248.03
35745,248.03
35740,248.03
35744,248.03
35748,
35746,248.03
35751,248.03
35752,248.03
35755,
35958,
35966,
35073,195.66
35079,
35094,
35091,195.66
35111,
35117,195.66
35116,195.66
35118,195.66
35119,195.66
35123,195.66
35126,
35130,
35127,195.66
35142,195.66
35139,195.66
35148,
35146,
35226,195.66
35173,
35172,
35209,195.66
35071,195.66
35222,195.66
35218,195.66
35217,195.66
35210,195.66
35212,195.66
35211,195.66
35213,195.66
35216,
35215,195.66
35214,195.66
35061,195.66
35221,195.66
35060,195.66
35068,195.66
35220,195.66
35063,
35062,
35064,195.66
35219,195.66
35021,195.66
35020,195.66
35229,195.66
35228,195.66
35036,195.66
35224,195.66
35048,195.66
35223,195.66
35208,195.66
35244,
35234,195.66
35233,195.66
35232,195.66
35231,195.66
35288,195.66
35237,195.66
35236,195.66
35235,195.66
35243,
35242,
35287,195.66
35259,195.66
35246,195.66
35255,195.66
35249,195.66
35254,195.66
35253,195.66
35285,195.66
35261,195.66
35260,195.66
35266,195.66
35283,195.66
35282,195.66
35270,195.66
35298,195.66
35293,195.66
35292,195.66
35290,195.66
35291,195.66
35297,195.66
35295,195.66
35294,195.66
35296,195.66
35005,195.66
35006,
35015,195.66
35207,195.66
35206,195.66
35444,
35180,
35023,195.66
35181,195.66
35022,
35204,195.66
35203,195.66
35202,195.66
35201,195.66
35205,195.66
35570,
35574,
35544,248.03
35481,
35552,
35592,248.03
35555,
35563,
35586,248.03
35576,
35652,
35677,209.35
35617,209.35
35610,
35648,209.35
35645,209.35
35630,209.35
35633,209.35
35631,209.35
35632,209.35
35634,209.35
35651,
35540,
35650,183.94
35618,183.94
35653,
35654,
35672,
35673,
35603,
35619,
35643,183.94
36877,
36866,
36879,
36854,
36804,
36865,183.94
36832,183.94
36831,183.94
36852,
36830,
36874,
36801,
36870,
36872,183.94
36802,183.94
36803,183.94
36867,
36850,
36849,183.94
35773,
35758,
35652,
35739,
35742,214.34
35671,214.34
35749,
35756,
35757,
35615,214.34
35614,214.34
35613,214.34
35611,214.34
35610,
35612,214.34
35620,214.34
35647,214.34
35649,214.34
36785,
36752,235.65
36761,
36032,
36040,235.65
36043,
36047,
36775,
36804,
36860,
36830,
36013,
36029,
36031,248.03
36039,248.03
36866,
36801,
36075,248.03
36078,
36087,248.03
36083,248.03
36088,248.03
35759,214.34
35767,214.34
35760,
35761,214.34
35762,214.34
35763,214.34
35816,214.34
35773,
35806,214.34
35801,214.34
35776,
35805,214.34
35802,214.34
35815,214.34
35804,214.34
35803,214.34
35807,214.34
35808,214.34
35814,214.34
35810,214.34
35813,214.34
35809,214.34
35812,214.34
35811,214.34
35894,214.34
35824,214.34
35893,214.34
35895,214.34
35897,214.34
35898,214.34
35896,214.34
35899,214.34
35758,
35739,
35741,214.34
35748,
35750,214.34
35749,
35756,
35757,
36784,
36736,248.03
36732,248.03
36786,
36748,248.03
36773,
36745,248.03
36782,248.03
36783,248.03
36754,248.03
36763,248.03
36738,248.03
36764,248.03
36742,
35565,
35570,
35571,
35543,248.03
35548,248.03
35552,
35594,
35593,
35554,
35563,
35564,248.03
35581,
35087,
35951,
35565,
35950,248.03
35760,
35976,
35952,
35980,
35769,
35776,
35975,
35747,248.03
35755,
35754,
35031,
35016,
35956,
35957,
35964,248.03
35962,
35175,
36628,235.92
36560,235.92
36601,235.92
36505,235.92
36568,235.92
36572,235.92
36571,235.92
36575,235.92
36609,235.92
36587,235.92
36582,235.92
36528,235.92
36695,235.92
36619,235.92
36590,235.92
36675,235.92
36608,235.92
36604,235.92
36641,235.92
36663,235.92
36603,235.92
36640,235.92
36602,235.92
36671,235.92
36630,235.92
36607,235.92
36670,235.92
36633,235.92
36605,235.92
36606,235.92
36612,235.92
36541,235.92
36611,235.92
36610,235.92
36617,235.92
36512,235.92
36509,235.92
36616,235.92
36615,235.92
36544,235.92
36660,235.92
36618,235.92
36613,235.92
36693,235.92
36691,235.92
36521,235.92
36685,235.92
36644,235.92
36689,235.92
36652,235.92
36688,235.92
36523,235.92
36525,235.92
36522,
36481,248.03
36460,
36439,248.03
36445,248.03
36502,
36449,248.03
36458,248.03
36480,248.03
36457,248.03
36751,
36033,
36471,
36461,248.03
36444,248.03
35593,
36425,248.03
36401,
36482,
36470,248.03
36475,
36054,
36013,
36029,
36046,
36036,
36041,
36043,
36047,
36052,
36069,
36104,235.65
36105,235.65
36134,235.65
36103,235.65
36102,235.65
36101,235.65
36116,235.65
36108,235.65
36107,235.65
36106,235.65
36132,235.65
36115,235.65
36111,235.65
36110,235.65
36109,235.65
36114,235.65
36112,235.65
36113,235.65
36130,235.65
36121,235.65
36120,235.65
36117,235.65
36119,235.65
36118,235.65
36125,235.65
36124,235.65
36123,235.65
36131,235.65
36133,235.65
36135,235.65
36191,235.65
36140,235.65
36142,235.65
36141,235.65
36177,235.65
36057,235.65
36064,235.65
36065,235.65
35087,
35760,
35775,183.94
35673,
35699,183.94
35670,183.94
35754,
35601,183.94
35602,183.94
35603,
35609,183.94
35619,
35621,
35622,
35640,183.94
35019,
35016,
35179,
35175,
36759,
36701,
36786,
36703,
36765,
35034,
35042,
36744,
36756,
35471,248.03
35481,
35574,
35555,
35461,248.03
35466,
35442,
35447,
35576,
36005,
36010,
36034,
36035,
36049,
36069,
36079,
36082,248.03
36081,
36258,
36264,
36263,248.03
36266,
36274,
36276,
36278,248.03
36280,248.03
36871,166.13
36877,
36860,
36870,
36851,166.13
36804,
36027,
36859,166.13
36875,166.13
36874,
36869,166.13
36858,166.13
36868,166.13
36856,166.13
36867,
35094,
35112,195.66
35121,
35120,195.66
35133,
35131,195.66
35125,195.66
35128,
35135,195.66
35146,
35173,
35987,195.66
35054,195.66
35052,195.66
35004,195.66
35178,
35182,195.66
35953,195.66
35972,
35078,195.66
35080,195.66
35094,
35114,195.66
35124,195.66
35115,
35128,
35137,195.66
35144,195.66
35143,195.66
35147,195.66
35216,
35035,
35040,
35043,195.66
35051,195.66
35243,
35238,195.66
35242,
35244,
35007,195.66
35022,
35178,
35187,195.66
35186,195.66
35185,195.66
35176,195.66
36907,248.03
36901,248.03
35477,248.03
36922,
36925,248.03
35470,248.03
35460,248.03
35459,248.03
35464,
35442,
35151,
35096,
35150,
35149,248.03
35161,248.03
35160,
35072,
35032,248.03
36260,
35044,248.03
36268,248.03
35014,248.03
36203,
35072,
35089,
36879,
36861,248.03
36853,248.03
36023,248.03
36866,
36850,
36078,
36256,
36255,
35010,
35011,248.03
36276,
35111,
35473,221.63
35475,221.63
35474,
35456,
35476,221.63
35480,
35478,221.63
35482,221.63
35487,221.63
35485,221.63
35490,221.63
35486,221.63
35546,
35574,
35555,
35469,
35468,221.63
35405,221.63
35404,221.63
35458,221.63
35466,
35457,221.63
35453,221.63
35463,
35402,221.63
35401,221.63
35006,
35403,221.63
35406,221.63
35184,
35440,221.63
35446,221.63
35407,221.63
35444,
35188,
35579,
35449,221.63
35452,221.63
35130,
35148,
35554,
35573,195.66
35501,195.66
35502,195.66
35504,
35503,
35546,
35550,195.66
35549,
35062,
35063,
35587,195.66
35033,
35038,195.66
35006,
35580,195.66
35579,
35578,
35555,
35560,195.66
35584,195.66
36553,248.03
36569,248.03
36585,248.03
36584,248.03
36581,248.03
36583,248.03
36529,248.03
36539,248.03
36538,248.03
36548,248.03
36513,248.03
36558,
36518,248.03
36556,248.03
36522,
36435,248.03
36768,248.03
36784,
36751,
36728,248.03
36030,
36726,248.03
36753,248.03
36769,248.03
36766,248.03
36761,
36720,248.03
36723,248.03
36721,248.03
36722,248.03
36741,248.03
35098,
35565,
35572,248.03
35540,
35553,248.03
35503,
35541,
35551,248.03
35575,248.03
35053,
35578,
35577,248.03
86544,166.13
86556,166.13
86540,166.13
86512,166.13
85932,166.13
86545,166.13
86547,166.13
85927,166.13
85940,166.13
86028,166.13
86511,166.13
85938,166.13
85930,166.13
85920,166.13
86506,166.13
85924,166.13
86515,166.13
86503,166.13
86502,166.13
86505,166.13
86504,166.13
85925,166.13
86514,166.13
86538,166.13
85936,166.13
86508,166.13
86535,166.13
86507,166.13
85671,209.35
85632,209.35
85670,209.35
85609,209.35
85602,
85643,
85617,209.35
85616,209.35
85615,209.35
85635,209.35
85608,209.35
85630,209.35
85644,209.35
85605,209.35
85620,209.35
85603,209.35
85607,209.35
85650,209.35
85627,209.35
85606,209.35
85636,209.35
85626,209.35
85625,209.35
85611,
85655,209.35
85610,209.35
85638,209.35
85613,209.35
86336,
86002,166.13
86024,166.13
86036,166.13
86022,166.13
86018,166.13
86040,166.13
86023,166.13
86003,166.13
86339,166.13
85931,166.13
86046,166.13
86020,166.13
86017,166.13
86004,166.13
86035,166.13
86045,166.13
86005,166.13
86038,166.13
86016,166.13
86435,166.13
86001,166.13
86053,166.13
86044,166.13
86015,166.13
86011,166.13
86052,166.13
85553,183.94
85502,183.94
